City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,narsaq,60.9167,-46.05,3.12,98,100,2.47,GL,1670348134
144,kaeo,-35.1,173.7833,15.79,94,100,6.98,NZ,1670348134
145,la ronge,55.1001,-105.2842,-31.86,62,40,4.63,CA,1670347845
146,mazatlan,23.2167,-106.4167,26.68,86,40,2.06,MX,1670348002
147,los llanos de aridane,28.6585,-17.9182,21.86,93,75,4.12,ES,1670348135
148,ponta do sol,32.6667,-17.1,20.56,89,98,6.14,PT,1670348135
149,siauliai,55.9333,23.3167,-0.99,93,100,6.17,LT,1670348108
150,touros,-5.1989,-35.4608,28.57,62,66,6.05,BR,1670348136
151,lleida,41.6167,0.6167,12.11,84,0,2.06,ES,1670348136
152,kokopo,-4.352,152.2633,24.75,87,65,1.83,PG,1670348137
153,sinor,21.9167,73.3333,22.96,54,0,3.09,IN,1670348137
154,valdivia,-39.8142,-73.2459,23.05,45,83,3.35,CL,1670348138
155,chilca,-12.5211,-76.7372,20.52,77,73,3.38,PE,1670348138
156,bembereke,10.2283,2.6634,26.6,13,23,1.7,BJ,1670348139
157,fare,-16.7,-151.0167,26.41,75,8,7.9,PF,1670348139
158,darhan,49.4867,105.9228,-20.99,89,3,2.41,MN,1670348140
159,freeport,40.6576,-73.5832,14.73,80,100,7.72,US,1670348096
160,constitucion,-35.3333,-72.4167,21.71,60,6,7.64,CL,1670348140
161,san cristobal,7.7669,-72.225,22.1,66,79,1.43,VE,1670347860
162,strangnas,59.3774,17.0312,-7.01,75,99,1.76,SE,1670348141
163,jammalamadugu,14.8333,78.4,21.96,76,87,1.27,IN,1670348141
164,butaritari,3.0707,172.7902,26.71,82,79,6.42,KI,1670348141
165,iisalmi,63.5592,27.1907,-1.81,95,100,3.14,FI,1670348142
166,saskylakh,71.9167,114.0833,-23.44,100,100,1.04,RU,1670348142
167,buala,-8.145,159.5921,26.16,82,79,1.81,SB,1670348143
168,bluff,-46.6,168.3333,7.02,78,4,7.46,NZ,1670348143
169,latung,5.5,120.8833,27.56,78,100,4.24,PH,1670348143
170,alofi,-19.0595,-169.9187,20.94,100,48,0.51,NU,1670348144
171,pathein,16.7833,94.7333,24.07,84,98,1.83,MM,1670348145
172,kruisfontein,-34.0033,24.7314,19.94,81,1,2.37,ZA,1670348145
173,ilinskiy,55.619,38.1182,-6.38,72,0,4.02,RU,1670348146
174,georgetown,5.4112,100.3354,26.96,95,40,2.57,MY,1670348146
175,jumla,29.2747,82.1838,4.57,33,0,2.48,NP,1670348147
176,tuatapere,-46.1333,167.6833,4.02,90,10,2.31,NZ,1670348147
177,beloyarskiy,63.7119,66.6722,-15.93,95,89,2.33,RU,1670348148
178,grindavik,63.8424,-22.4338,2.26,100,75,0.51,IS,1670348148
179,progreso,21.2833,-89.6667,29.5,51,37,4.9,MX,1670348148
180,nizhniy kuranakh,58.8353,125.4869,-23.3,94,100,3.43,RU,1670348149
